temperature,top_k,top_p,name
0.7,,,saurops
0.7,,,chischurosaurus
0.7,,,galmaisaurus
0.7,,0.9,amarchisaurus
0.7,,0.9,tanuchus
0.7,,0.9,sinoraptor
0.7,,0.95,parchaeopelta
0.7,,0.95,binornithosaurus
0.7,,0.95,protarisaurus
0.7,5,,shingosaurus
0.7,5,,paraptora
0.7,5,,spalasaurus
0.7,5,0.9,shangosaurus
0.7,5,0.9,caranosaurus
0.7,5,0.9,chirosaurus
0.7,5,0.95,pachisaurus
0.7,5,0.95,amantosaurus
0.7,5,0.95,stenotoraptor
0.7,10,,protachisaurus
0.7,10,,mantypsaurus
0.7,10,,spenopenta
0.7,10,0.9,tanostrosaurus
0.7,10,0.9,lampeosaurus
0.7,10,0.9,andalosaurus
0.7,10,0.95,monocoraptor
0.7,10,0.95,tenotonisaurus
0.7,10,0.95,candalosaurus
1.0,,,sarysaurus
1.0,,,gelluandia
1.0,,,colecosaurus
1.0,,0.9,bayantasaurus
1.0,,0.9,sinthamosaurus
1.0,,0.9,monoceratops
1.0,,0.95,sercopani
1.0,,0.95,fulagueltia
1.0,,0.95,agasuchis
1.0,5,,pricephoractosuchus
1.0,5,,saurornosaurus
1.0,5,,tornysaurus
1.0,5,0.9,pelechisaurus
1.0,5,0.9,alacoraptor
1.0,5,0.9,albertitan
1.0,5,0.95,archoceratops
1.0,5,0.95,changongosaurus
1.0,5,0.95,prototaraptor
1.0,10,,dacrycheltosaurus
1.0,10,,santrasaurus
1.0,10,,sanchoceratops
1.0,10,0.9,dracinosaurus
1.0,10,0.9,prosaurus
1.0,10,0.9,sarphiosaurus
1.0,10,0.95,schanocoelia
1.0,10,0.95,halcangosaurus
1.0,10,0.95,tonyansaurus
2.5,,,limekatbus
2.5,,,nrksharnainanldlue
2.5,,,qllbsazides
2.5,,0.9,kotaeoalosamaia
2.5,,0.9,drectas
2.5,,0.9,vazkolyxa
2.5,,0.95,junlcinaduos
2.5,,0.95,dacuntoeicosaurus
2.5,,0.95,dinasaurusopsludeqtthzanfmpj
2.5,5,,tariostrustylosaurus
2.5,5,,campenosaurus
2.5,5,,pondyospodla
2.5,5,0.9,pellopleis
2.5,5,0.9,prodomosaurois
2.5,5,0.9,colustrophus
2.5,5,0.95,ampteosauros
2.5,5,0.95,ancalasaurope
2.5,5,0.95,cenancaurosaurus
2.5,10,,trobicetyrushy
2.5,10,,muancheorsensaskyla
2.5,10,,thuycradrois
2.5,10,0.9,amaspododra
2.5,10,0.9,lusidylliscora
2.5,10,0.9,seilopesaurus
2.5,10,0.95,temyceres
2.5,10,0.95,hacnasaurusodomilmornhosauru
2.5,10,0.95,lasidoches
4.0,,,iurnmonsycqqimovdopesdyzoxdh
4.0,,,pdkommyogptizaqvaphtludnia
4.0,,,mepxusckizur
4.0,,0.9,ahnufeltol
4.0,,0.9,caipu
4.0,,0.9,gixansribyxrkor
4.0,,0.95,yqgaxroorepexeig
4.0,,0.95,unkqanuacdlmavcauomnxskmxs
4.0,,0.95,skzehncyuitittotznk
4.0,5,,pilonygus
4.0,5,,stentrurasuu
4.0,5,,albiraniodhodrons
4.0,5,0.9,penectophosaurus
4.0,5,0.9,calmisucheiates
4.0,5,0.9,argonychus
4.0,5,0.95,pertaratops
4.0,5,0.95,sinisauruis
4.0,5,0.95,stylenoconysur
4.0,10,,pychirocamorhiosaulus
4.0,10,,ausenylushcunu
4.0,10,,agapectilesithudosuk
4.0,10,0.9,seuignyrus
4.0,10,0.9,lorgurha
4.0,10,0.9,sceraptorn
4.0,10,0.95,hypsentopssalidiac
4.0,10,0.95,tatertris
4.0,10,0.95,seicracltoscisocoem
