temperature,top_k,top_p,name
0.7,,,suchusaurus
0.7,,,carteri
0.7,,,neicoraptor
0.7,,0.9,camarosaurus
0.7,,0.9,borosaurus
0.7,,0.9,tarapanosaurus
0.7,,0.95,alchatitan
0.7,,0.95,gryptosaurus
0.7,,0.95,mocoraptor
0.7,5,,teracosaurus
0.7,5,,stelophoseus
0.7,5,,totoceratops
0.7,5,0.9,palanoceratops
0.7,5,0.9,palaeodon
0.7,5,0.9,alberosaurus
0.7,5,0.95,patocosaurus
0.7,5,0.95,altodon
0.7,5,0.95,palarosaurus
0.7,10,,aletosaurus
0.7,10,,sulosuchus
0.7,10,,spasinosaurus
0.7,10,0.9,palarosaurus
0.7,10,0.9,anthurosaurus
0.7,10,0.9,croceratops
0.7,10,0.95,paepyrosaurus
0.7,10,0.95,stenopteryx
0.7,10,0.95,catiosaurus
1.0,,,nathocoleps
1.0,,,changgongosaurus
1.0,,,lucanyusfosaurus
1.0,,0.9,heroceratops
1.0,,0.9,pletosaurus
1.0,,0.9,atosaurus
1.0,,0.95,arceplodon
1.0,,0.95,dithantimosaurus
1.0,,0.95,gryndypsospinosaurus
1.0,5,,teraptor
1.0,5,,contosaurus
1.0,5,,stanopalia
1.0,5,0.9,altosaurus
1.0,5,0.9,palaeoceratops
1.0,5,0.9,santrodon
1.0,5,0.95,amphiceratops
1.0,5,0.95,shuandingosaurus
1.0,5,0.95,pilanoceratops
1.0,10,,prutyrandon
1.0,10,,altchomeriosaurus
1.0,10,,astrodondus
1.0,10,0.9,paesanosaurus
1.0,10,0.9,aganititan
1.0,10,0.9,cronashus
1.0,10,0.95,tasacosaurus
1.0,10,0.95,anthosaurus
1.0,10,0.95,parosaurus
2.5,,,ospytlopheydaduxy
2.5,,,yreaox
2.5,,,iuazbobsaurpcfurxxyirepscilu
2.5,,0.9,abcoria
2.5,,0.9,ehosisuchus
2.5,,0.9,largmyatelsaug
2.5,,0.95,sdaroatofirelnugebm
2.5,,0.95,wamzrodon
2.5,,0.95,ukgbaiirimnsospus
2.5,5,,albiteltyrinasa
2.5,5,,amegactospodsuchus
2.5,5,,pinoconosaurus
2.5,5,0.9,saltarasaurus
2.5,5,0.9,chinonodronus
2.5,5,0.9,signasaurus
2.5,5,0.95,calentisaurus
2.5,5,0.95,chingjunangosauros
2.5,5,0.95,anchospeltes
2.5,10,,erbeiosaeryus
2.5,10,,palcruimhamon
2.5,10,,arrcolonnius
2.5,10,0.9,pelichreosaurapteryx
2.5,10,0.9,sangiomosuadi
2.5,10,0.9,saltritarnans
2.5,10,0.95,miasinusceurochiliam
2.5,10,0.95,thniutygomlanistinus
2.5,10,0.95,lbyoaronyx
4.0,,,rekbastemuswnycvoeosadckoklo
4.0,,,yivinlku
4.0,,,plushowiuwayxianzusmmnond
4.0,,0.9,cixhdensyu
4.0,,0.9,tedltcnhuvueu
4.0,,0.9,encharhitngot
4.0,,0.95,lypaekxittolamcontttaskasaur
4.0,,0.95,owigjlydzmudvewrave
4.0,,0.95,bromahgacdatacemmxozisuwaskl
4.0,5,,parcodimosuc
4.0,5,,ampisaurasour
4.0,5,,chaleornus
4.0,5,0.9,petrycododrus
4.0,5,0.9,signoder
4.0,5,0.9,angalias
4.0,5,0.95,pantelimiamamon
4.0,5,0.95,siluricarapsaceus
4.0,5,0.95,pilerepia
4.0,10,,myngugundstthylocomuchiuchal
4.0,10,,mongychypsaraur
4.0,10,,mampthcrcinocuehtenas
4.0,10,0.9,dylonyandaptor
4.0,10,0.9,duronnyodidronia
4.0,10,0.9,luberuasiamixiuamadropsaurus
4.0,10,0.95,lueucaua
4.0,10,0.95,phanygegitynin
4.0,10,0.95,laessauceropnyteludxitarucnu
