temperature,top_k,top_p,name
0.7,,,caucangosaurus
0.7,,,arcosaurus
0.7,,,lamesaurus
0.7,,0.9,seisodon
0.7,,0.9,trachisaurus
0.7,,0.9,marchuelon
0.7,,0.95,saurosaurus
0.7,,0.95,helesaurus
0.7,,0.95,barasauropteryx
0.7,5,,chiscosaurus
0.7,5,,pondroceratops
0.7,5,,santosaurus
0.7,5,0.9,anchinosaurus
0.7,5,0.9,sinoraptor
0.7,5,0.9,alatosaurus
0.7,5,0.95,albarosaurus
0.7,5,0.95,altosaurus
0.7,5,0.95,sinoraptor
0.7,10,,cambairaptor
0.7,10,,anchusamossaurus
0.7,10,,palaychasaurus
0.7,10,0.9,avanosaurus
0.7,10,0.9,seleosaurus
0.7,10,0.9,delasaurus
0.7,10,0.95,parainosaurus
0.7,10,0.95,albeltosaurus
0.7,10,0.95,hepsolophosaurus
1.0,,,anquoceratopa
1.0,,,stryghangosaurus
1.0,,,tareisaurus
1.0,,0.9,kryshanchisaurus
1.0,,0.9,shencosaurus
1.0,,0.9,picrosaurus
1.0,,0.95,sphieraptor
1.0,,0.95,avitanasaurus
1.0,,0.95,ostrosaurus
1.0,5,,selicoratapinus
1.0,5,,celoplong
1.0,5,,corecosaurus
1.0,5,0.9,arachenosaurus
1.0,5,0.9,sauchenosaurus
1.0,5,0.9,aratasaurus
1.0,5,0.95,alteosaurus
1.0,5,0.95,shualophus
1.0,5,0.95,ariasaurus
1.0,10,,dyistrosaurus
1.0,10,,aucephtoceratops
1.0,10,,archaiosaurus
1.0,10,0.9,santrurias
1.0,10,0.9,matinosaurus
1.0,10,0.9,aviroplesaurus
1.0,10,0.95,lactasaurus
1.0,10,0.95,huecosaurus
1.0,10,0.95,lectaosaurus
2.5,,,boideyloedhotho
2.5,,,shbatetor
2.5,,,sabreco
2.5,,0.9,zrcmodilumus
2.5,,0.9,nqkanbruabpmeia
2.5,,0.9,ptieperltoes
2.5,,0.95,waugus
2.5,,0.95,wilenaeuqtygnaszspurbpbplowa
2.5,,0.95,aslimiruptocs
2.5,5,,colicoras
2.5,5,,austratheimenodosaurus
2.5,5,,angiasaurus
2.5,5,0.9,tataramimisaurus
2.5,5,0.9,auchicelucornosaurus
2.5,5,0.9,sileosaurus
2.5,5,0.95,procaudimusaurus
2.5,5,0.95,pelengchuasauras
2.5,5,0.95,alecospilus
2.5,10,,angromiruimospylosuchs
2.5,10,,deptorhotor
2.5,10,,celticointhua
2.5,10,0.9,sheisacerusoremiceldoptyr
2.5,10,0.9,albeosaosaurux
2.5,10,0.9,citerrsornis
2.5,10,0.95,simanatity
2.5,10,0.95,compasplliscyuasolta
2.5,10,0.95,liptacerdtoceratopsucapsulov
4.0,,,pbizhnepspincspbdzgjuvqiaepm
4.0,,,kqpipsqgiearemmtjmifuschajju
4.0,,,dmideianjx
4.0,,0.9,mmkpovevaisub
4.0,,0.9,mlmuimbnutosamrgdipypheilofm
4.0,,0.9,guszuefknia
4.0,,0.95,niocavvmtuxia
4.0,,0.95,gahtrmheoriamrhyrs
4.0,,0.95,egkhwtobugmukb
4.0,5,,cambitelisisci
4.0,5,,procopelus
4.0,5,,chuescradapteroptytheveuchus
4.0,5,0.9,aurostrusausa
4.0,5,0.9,sarciasatoptlo
4.0,5,0.9,antosausui
4.0,5,0.95,pelodianimusoudi
4.0,5,0.95,tanotaris
4.0,5,0.95,arisacroptetytyx
4.0,10,,pysanishoppovrosauryang
4.0,10,,amegkuemomost
4.0,10,,suglussycrsisousaunqeogriml
4.0,10,0.9,duspess
4.0,10,0.9,llualodhysaf
4.0,10,0.9,mypurctriotitucelusufpelopto
4.0,10,0.95,amphorosaurruria
4.0,10,0.95,sugultya
4.0,10,0.95,pheepitornphotim
